,Month,Number of cases
0,Apr 2,44
1,Apr 1,34
2,Mar 31,64
3,Mar 30,83
4,Mar 29,41
5,Mar 28,48
6,Mar 27,76
7,Mar 26,36
8,Mar 25,30
9,Mar 24,50
10,Mar 23,33
11,Mar 22,19
12,Mar 21,6
13,Mar 20,16
14,Mar 19,28
15,Mar 18,10
16,Mar 17,30
17,Mar 16,8
18,Mar 15,6
19,Mar 14,9
20,Mar 13,30
21,Mar 12,0
22,Mar 11,0
23,Mar 10,11
24,Mar 9,0
25,Mar 8,6
26,Mar 7,14
27,Mar 6,5
28,Mar 5,0
29,Mar 4,3
30,Mar 3,6
31,Mar 2,7
32,Mar 1,6
33,Feb 29,6
34,Feb 28,0
35,Feb 27,2
36,Feb 26,4
37,Feb 25,0
38,Feb 24,1
39,Feb 23,0
40,Feb 22,0
41,Feb 21,0
42,Feb 20,0
43,Feb 19,0
44,Feb 18,0
45,Feb 17,0
46,Feb 16,0
47,Feb 15,0
48,Feb 14,0
49,Feb 13,0
50,Feb 12,0
51,Feb 11,0
52,Feb 10,0
53,Feb 9,0
54,Feb 8,0
55,Feb 7,0
56,Feb 6,0
57,Feb 5,0
58,Feb 4,0
59,Feb 3,0
60,Feb 2,0
61,Feb 1,0
62,Jan 31,0
63,Jan 30,0
64,Jan 29,0
65,Jan 28,0
66,Jan 27,0
67,Jan 26,0
68,Jan 25,0
69,Jan 24,0
70,Jan 23,0
71,Jan 22,0
