,Year,Inflation rate compared to previous year
0,2024*,2.54%
1,2023*,2.47%
2,2022*,2.33%
3,2021*,1.97%
4,2020*,1.82%
5,2019*,1.6%
6,2018,1.96%
7,2017,1.97%
8,2016,1.25%
9,2015,1.51%
10,2014,2.51%
11,2013,2.45%
12,2012,1.69%
13,2011,3.36%
14,2010,2.86%
15,2009,1.77%
16,2008,4.35%
17,2007,2.36%
18,2006,3.55%
19,2005,2.66%
20,2004,2.34%
21,2003,2.73%
22,2002,3.05%
23,2001,4.41%
24,2000,4.46%
25,1999,1.41%
26,1998,0.86%
27,1997,0.23%
28,1996,2.65%
29,1995,4.58%
30,1994,1.97%
31,1993,1.75%
32,1992,0.97%
33,1991,3.31%
34,1990,7.23%
35,1989,7.58%
36,1988,7.27%
37,1987,8.53%
38,1986,9.05%
39,1985,6.74%
40,1984,3.96%
