,Month,Number of viewers in thousands
0,November 2020,71.76
1,October 2020,74.95
2,September 2020,81.84
3,August 2020,111.87
4,July 2020,126.67
5,June 2020,139.42
6,May 2020,134.16
7,April 2020,104.97
8,March 2020,75.52
9,February 2020,62.42
10,January 2020,57.29
11,December 2019,50.94
12,November 2019,46.08
13,October 2019,49.63
14,September 2019,54.82
15,August 2019,86.92
16,July 2019,84.26
17,June 2019,83.11
18,May 2019,100.43
19,April 2019,115.32
20,March 2019,82.93
21,February 2019,19.08
22,January 2019,16.32
23,December 2018,12.58
24,November 2018,13.66
25,October 2018,15.99
26,September 2018,18.28
27,August 2018,20.54
28,July 2018,21.88
29,June 2018,16.94
30,May 2018,15.68
31,April 2018,13.72
32,March 2018,14.02
33,February 2018,21.73
34,January 2018,17.4
