,Year,GDP per capita in U.S. dollars
0,2025*,9095.42
1,2024*,8658.3
2,2023*,8264.42
3,2022*,7747.8
4,2021*,7035.84
5,2020*,6557.51
6,2019*,7772.67
7,2018*,7996.96
8,2017,7585.49
9,2016,6958.35
10,2015,6538.62
11,2014,7497.69
12,2013,7007.25
13,2012,7710.8
14,2011,7503.96
15,2010,6374.99
16,2009,5183.69
17,2008,5641.18
18,2007,5676.26
19,2006,5352.87
20,2005,5338.24
21,2004,4840.81
22,2003,4119.41
23,2002,3017.72
24,2001,3090.26
25,2000,3301.21
26,1999,3173.69
27,1998,2841.93
28,1997,3025.7
29,1996,3006.15
30,1995,2984.19
31,1994,2755.72
32,1993,2629.78
33,1992,2684.21
34,1991,2673.59
35,1990,2750.81
36,1989,2584.23
37,1988,2398.68
38,1987,1915.11
39,1986,1267.15
40,1985,968.95
