,tourist attraction,Number of hashtagged posts in millions
0,"Central Park, New York City",6.17
1,"Eiffel Tower, Paris",5.09
2,"Times Square, New York City",3.45
3,"Grand Canyon, Arizona",3.01
4,"Big Ben, London",2.9
5,"Burj Khalifa, Dubai",2.66
6,"London Eye, London",2.63
7,"Brooklyn Bridge, New York City",2.53
8,"Louvre, Paris",2.51
9,"Golden Gate Bridge, California",2.37
10,"Niagara Falls, Ontario",2.36
11,"Empire State Building, New York City",2.3
12,"London Bridge, London",1.82
13,"Statue of Liberty, New York City",1.6
14,"Sagrada Familia, Barcelona",1.53
15,"Coliseum, Rome",1.35
16,"Machu Picchu, Peru",1.26
17,"Angor Wat, Cambodia",1.16
