,Month,Inflation rate
0,Aug '20,0.48%
1,Jul '20,0.08%
2,Jun '20,0.13%
3,May '20,0.15%
4,Apr '20,0.9%
5,Mar '20,0.29%
6,Feb '20,0.29%
7,Jan '20,0.82%
8,Dec '19,1.23%
9,Nov '19,1.2%
10,Oct '19,1.22%
11,Sep '19,1.02%
12,Aug '19,0.8%
13,Jul '19,0.89%
14,Jun '19,0.37%
15,May '19,0.2%
16,Apr '19,0.35%
17,Mar '19,0.64%
18,Feb '19,0.7%
19,Jan '19,0.62%
20,Dec '18,0.34%
21,Nov '18,0.26%
22,Oct '18,0.31%
23,Sep '18,0.2%
24,Aug '18,0.34%
25,Jul '18,0.39%
26,Jun '18,0.79%
27,May '18,0.86%
28,Apr '18,0.74%
29,Mar '18,0.35%
30,Feb '18,0.38%
31,Jan '18,0.4%
