,Year,Fertility rate
0,2020,1.85
1,2015,1.98
2,2010,1.98
3,2005,1.88
4,2000,1.76
5,1995,1.7
6,1990,1.8
7,1985,1.86
8,1980,1.86
9,1975,2.31
10,1970,2.65
11,1965,2.85
12,1960,2.7
13,1955,2.76
14,1950,2.98
15,1945,2.13
16,1940,2.1
17,1935,2.16
18,1930,2.3
19,1925,2.44
20,1920,1.68
21,1915,2.26
22,1910,2.61
23,1905,2.8
24,1900,2.89
25,1895,2.96
26,1890,3.14
27,1885,3.38
28,1880,3.46
29,1875,3.44
30,1870,3.5
31,1865,3.51
32,1860,3.45
33,1855,3.36
34,1850,3.5
35,1845,3.53
36,1840,3.59
37,1835,3.67
38,1830,3.74
39,1825,3.8
40,1820,3.85
41,1815,3.88
42,1810,4.0
43,1805,4.26
44,1800,4.41
