,Chemical drug,Number of items dispensed in millions
0,Atorvastatin,45.8
1,Levothyroxine sodium,32.9
2,Omeprazole,31.5
3,Amlodipine,30.5
4,Ramipril,29.3
5,Lansoprazole,26.7
6,Bisoprolol fumarate,24.9
7,Colecalciferol,24.0
8,Metformin hydrochloride,22.3
9,Aspirin,22.2
10,Simvastatin,21.8
11,Salbutamol,21.7
12,Paracetamol,17.3
13,Sertraline hydrochloride,16.8
14,Co-codamol (Codeine phosphate/paracetamol),15.0
15,Citalopram hydrobromide,14.0
16,Amitriptyline hydrochloride,13.9
17,Furosemide,11.7
18,Beclometasone dipropionate,11.3
19,Losartan potassium,10.1
