,Month,Number of employees
0,Helse Sør-Øst RHF,60368
1,Telenor ASA,31000
2,Aker ASA,20753
3,Equinor ASA / Statoil,20245
4,Posten Norge AS,18327
5,Orkla ASA,18154
6,Yara International ASA,14736
7,Aker Solutions ASA,14300
8,Tallyman AS,13760
9,Norges Statsbaner AS,13006
10,Norsk Hydro ASA,12911
11,Marine Harvest ASA,12717
12,Strawberry Holding AS,10412
13,Nordic Choice Hospitality Group AS,10320
14,Kongsberg Automotive ASA,9791
15,DNB ASA,9561
16,Hfn Group AS,9172
17,Evry ASA,9100
18,Hospitality Invest AS,9001
19,Nokas AS,8273
