,Year,Population in millions
0,2025*,1417.9
1,2024*,1416.24
2,2023*,1414.06
3,2022*,1411.34
4,2021*,1408.09
5,2020*,1404.33
6,2019,1400.05
7,2018,1395.38
8,2017,1390.08
9,2016,1382.71
10,2015,1374.62
11,2014,1367.82
12,2013,1360.72
13,2012,1354.04
14,2011,1347.35
15,2010,1340.91
16,2009,1334.5
17,2008,1328.02
18,2007,1321.29
19,2006,1314.48
20,2005,1307.56
21,2004,1299.88
22,2003,1292.27
23,2002,1284.53
24,2001,1276.27
25,2000,1267.43
26,1999,1257.86
27,1998,1247.61
28,1997,1236.26
29,1996,1223.89
30,1995,1211.21
31,1994,1198.5
32,1993,1185.17
33,1992,1171.71
34,1991,1158.23
35,1990,1143.33
36,1989,1127.04
37,1988,1110.26
38,1987,1093.0
39,1986,1075.07
40,1985,1058.51
41,1984,1043.57
42,1983,1030.08
43,1982,1016.54
44,1981,1000.72
45,1980,987.05
