,Year,Inflation rate compared to previous year
0,2025*,2.02%
1,2024*,2.02%
2,2023*,1.96%
3,2022*,2.01%
4,2021*,3.7%
5,2020*,3.58%
6,2019,-2.09%
7,2018,2.45%
8,2017,-0.81%
9,2016,2.05%
10,2015,1.22%
11,2014,2.2%
12,2013,3.52%
13,2012,2.88%
14,2011,3.76%
15,2010,3.78%
16,2009,4.18%
17,2008,6.08%
18,2007,5.06%
19,2006,1.9%
20,2005,0.55%
21,2004,0.27%
22,2003,0.55%
23,2002,0.14%
24,2001,-1.22%
25,2000,-1.08%
26,1999,-2.11%
27,1998,-0.39%
28,1997,-0.26%
29,1996,0.26%
30,1995,5.25%
31,1994,1.26%
32,1993,1.28%
33,1992,-0.98%
34,1991,3.79%
35,1990,-1.01%
36,1989,1.17%
37,1988,-0.35%
38,1987,-2.39%
39,1986,-3.12%
40,1985,-2.31%
