,Quarter,Viewers in thousands
0,Q2 2019,18044
1,Q1 2019,18858
2,Q4 2018,18023
3,Q3 2018,16914
4,Q2 2018,17052
5,Q1 2018,19104
6,Q4 2017,20164
7,Q3 2017,20186
8,Q2 2017,22251
9,Q1 2017,21458
10,Q4 2016,21335
11,Q3 2016,21451
12,Q2 2016,22500
13,Q1 2016,20743
14,Q4 2015,25590
15,Q3 2015,20829
16,Q2 2015,21890
17,Q1 2015,22965
18,Q4 2014,21747
19,Q3 2014,22454
20,Q2 2014,22211
21,Q1 2014,25085
22,Q4 2013,24102
23,Q3 2013,23640
24,Q2 2013,25072
25,Q1 2013,25825
26,Q4 2012,26710
27,Q3 2012,24758
28,Q2 2012,24497
29,Q1 2012,25228
