,Quarter,Share of shipments
0,Q4 '19,18.8%
1,Q3 '19,21.8%
2,Q2 '19,22.7%
3,Q1 '19,23.1%
4,Q4 '18,18.8%
5,Q3 '18,20.3%
6,Q2 '18,21%
7,Q1 '18,23.5%
8,Q4 '17,18.9%
9,Q3 '17,22.1%
10,Q2 '17,22.9%
11,Q1 '17,23.3%
12,Q4 '16,18%
13,Q3 '16,20.9%
14,Q2 '16,22.4%
15,Q1 '16,23.8%
16,Q4 '15,20.4%
17,Q3 '15,23.3%
18,Q2 '15,21.7%
19,Q1 '15,24.6%
20,Q4 '14,19.9%
21,Q3 '14,23.9%
22,Q2 '14,24.8%
23,Q1 '14,30.7%
24,Q4 '13,28.83%
25,Q3 '13,32.5%
26,Q2 '13,32.3%
27,Q1 '13,31.9%
28,Q4 '12,29.1%
29,Q3 '12,31.1%
30,Q2 '12,32.2%
31,Q1 '12,28.8%
32,Q4 '11,22.5%
33,Q3 '11,22.7%
34,Q2 '11,17%
35,Q1 '11,11.3%
36,Q4 '10,9.4%
37,Q3 '10,8.8%
38,Q2 '10,5.6%
39,Q1 '10,4.3%
40,Q4 '09,3.3%
41,Q3 '09,3%
42,Q2 '09,3%
