,State,Number of stores
0,Texas,1552
1,Georgia,915
2,Florida,900
3,North Carolina,870
4,Ohio,858
5,Tennessee,815
6,Alabama,796
7,Pennsylvania,781
8,Illinois,578
9,Michigan,574
10,Lousiana,574
11,Indiana,566
12,Kentucky,565
13,South Carolina,564
14,Missouri,547
15,Mississippi,538
16,New York,495
17,Oklahoma,461
18,Arkansas,452
19,Virginia,435
20,Iowa,264
21,West Virginia,249
22,Kansas,247
23,California,226
24,Wisconsin,192
25,Minnesota,163
26,New Jersey,148
27,Maryland,140
28,Nebraska,128
29,Arizona,121
30,New Mexico,99
31,Connecticut,64
32,Maine,58
33,Oregon,57
34,South Dakota,55
35,Colorado,51
36,Massachusetts,50
37,Delaware,47
38,North Dakota,42
39,New Hampshire,40
40,Vermont,37
41,Nevada,22
42,Rhode Island,20
43,Utah,11
44,Wyoming,1
