,Year,Inflation rate compared to previous year
0,2025*,1.61%
1,2024*,1.5%
2,2023*,1.19%
3,2022*,0.98%
4,2021*,0.63%
5,2020*,0.46%
6,2019,1.3%
7,2018,2.1%
8,2017,1.16%
9,2016,0.31%
10,2015,0.09%
11,2014,0.61%
12,2013,0.99%
13,2012,2.21%
14,2011,2.29%
15,2010,1.74%
16,2009,0.1%
17,2008,3.16%
18,2007,1.61%
19,2006,1.89%
20,2005,1.89%
21,2004,2.34%
22,2003,2.17%
23,2002,1.94%
24,2001,1.78%
25,2000,1.82%
26,1999,0.58%
27,1998,0.67%
28,1997,1.27%
29,1996,2.08%
30,1995,1.77%
31,1994,1.66%
32,1993,2.24%
33,1992,2.46%
34,1991,3.4%
35,1990,0.32%
36,1989,6.57%
37,1988,2.7%
38,1987,3.29%
39,1986,2.54%
40,1985,5.83%
