,Quarter,Share of payments in income
0,Q3 '19,9.69%
1,Q2 '19,9.71%
2,Q1 '19,9.71%
3,Q4 '18,9.75%
4,Q3 '18,9.7%
5,Q2 '18,9.71%
6,Q1 '18,9.74%
7,Q4 '17,9.88%
8,Q3 '17,9.94%
9,Q2 '17,9.96%
10,Q1 '17,9.96%
11,Q4 '16,10.04%
12,Q3 '16,10.06%
13,Q2 '16,10%
14,Q1 '16,9.9%
15,Q4 '15,9.93%
16,Q3 '15,9.95%
17,Q2 '15,9.91%
18,Q1 '15,9.92%
19,Q4 '14,9.86%
20,Q3 '14,9.87%
21,Q2 '14,9.91%
22,Q1 '14,9.98%
23,Q4 '13,10.08%
24,Q3 '13,10.07%
25,Q2 '13,10.11%
26,Q1 '13,10.19%
27,Q4 '12,9.83%
28,Q3 '12,10.14%
29,Q2 '12,10.08%
30,Q1 '12,10.2%
31,Q4 '11,10.45%
32,Q3 '11,10.58%
33,Q2 '11,10.69%
34,Q1 '11,10.77%
