,State,Cost in U.S. dollars
0,Alaska,28617.34
1,Wisconsin,23746.69
2,New York,22059.22
3,New Jersey,21294.82
4,Florida,20805.89
5,Massachusetts,19879.6
6,Connecticut,19692.76
7,Illinois,19631.75
8,Texas,19551.97
9,Georgia,19328.71
10,California,19184.14
11,Pennsylvania,18753.63
12,Wyoming,18476.31
13,Nevada,18266.84
14,Virginia,18261.83
15,Oklahoma,18121.42
16,Arizona,18023.04
17,Oregon,17948.33
18,Colorado,17713.57
19,Washington,17680.54
20,North Dakota,17647.14
21,Delaware,17617.02
22,Vermont,17428.48
23,Tennessee,17157.99
24,Indiana,16951.98
25,North Carolina,16839.97
26,New Hampshire,16837.87
27,South Carolina,16707.3
28,Maryland,16425.8
29,Kansas,16269.51
30,South Dakota,15994.09
31,Maine,15906.99
32,Minnesota,15646.02
33,West Virginia,15553.63
34,Missouri,15513.47
35,Kentucky,15150.94
36,Iowa,15135.67
37,Michigan,15107.17
38,Mississippi,15107.17
39,Idaho,15102.93
40,New Mexico,14921.5
41,Hawaii,14445.19
42,Utah,14252.8
43,Ohio,14212.56
44,Rhode Island,14088.87
45,Arkansas,13970.83
46,Louisiana,13776.54
47,Alabama,13589.75
48,Montana,13344.77
49,Nebraska,13143.4
