,Month,Number of users
0,"Jan 05, 2021",63953197
1,"Jan 04, 2021",63867764
2,"Jan 03, 2021",63751223
3,"Jan 02, 2021",63652587
4,"Jan 01, 2021",63545221
5,"Dec 31, 2020",63476578
6,"Dec 30, 2020",63407664
7,"Dec 29, 2020",63321084
8,"Dec 28, 2020",63199039
9,"Dec 27, 2020",63100914
10,"Dec 26, 2020",62996327
11,"Dec 25, 2020",62874240
12,"Dec 24, 2020",62771338
13,"Dec 23, 2020",62651498
14,"Dec 22, 2020",62567166
15,"Dec 21, 2020",62445179
16,"Dec 20, 2020",62354757
17,"Dec 19, 2020",62272252
18,"Dec 18, 2020",62164118
19,"Dec 17, 2020",62047818
20,"Dec 16, 2020",61909985
21,"Dec 15, 2020",61804966
22,"Dec 14, 2020",61690250
23,"Dec 13, 2020",61598443
24,"Dec 12, 2020",61510603
25,"Dec 11, 2020",61393514
26,"Dec 10, 2020",61296788
27,"Dec 09, 2020",61173163
28,"Dec 08, 2020",61061885
29,"Dec 07, 2020",60951761
30,"Dec 06, 2020",60870532
31,"Dec 05, 2020",60800549
32,"Dec 04, 2020",60704880
33,"Dec 03, 2020",60632596
34,"Dec 02, 2020",60541444
35,"Dec 01, 2020",60467342
36,"Nov 30, 2020",60357819
37,"Nov 29, 2020",60237279
38,"Nov 28, 2020",60152825
39,"Nov 27, 2020",60040111
40,"Nov 26, 2020",59940448
41,"Nov 25, 2020",59765575
42,"Nov 24, 2020",59629098
43,"Nov 23, 2020",59454166
44,"Nov 22, 2020",59266274
45,"Nov 21, 2020",59138875
46,"Nov 20, 2020",58973416
47,"Nov 19, 2020",58795042
48,"Nov 18, 2020",58593733
49,"Nov 17, 2020",58474239
50,"Nov 16, 2020",58334504
51,"Nov 15, 2020",58186351
52,"Nov 14, 2020",57904263
53,"Nov 13, 2020",57705634
54,"Nov 12, 2020",57514505
55,"Nov 11, 2020",57265035
56,"Nov 10, 2020",57098223
57,"Nov 09, 2020",56897595
58,"Nov 08, 2020",56665004
59,"Nov 07, 2020",56369296
60,"Nov 06, 2020",56146234
61,"Nov 05, 2020",55991743
62,"Nov 04, 2020",55889516
63,"Nov 03, 2020",55795796
64,"Nov 02, 2020",55731554
65,"Nov 01, 2020",55709915
66,"Oct 31, 2020",55649649
67,"Oct 30, 2020",55631779
68,"Oct 29, 2020",55578714
69,"Oct 28, 2020",55527427
70,"Oct 27, 2020",55500633
71,"Oct 26, 2020",55413053
72,"Oct 25, 2020",55386127
73,"Oct 24, 2020",55335238
74,"Oct 23, 2020",55271863
75,"Oct 22, 2020",55229361
76,"Oct 21, 2020",55175495
77,"Oct 20, 2020",55148171
78,"Oct 19, 2020",55106842
79,"Oct 18, 2020",55041177
80,"Oct 17, 2020",55017742
81,"Oct 16, 2020",54972122
82,"Oct 15, 2020",54949726
83,"Oct 14, 2020",54861963
84,"Oct 13, 2020",54800335
85,"Oct 12, 2020",54764587
86,"Oct 11, 2020",54701746
87,"Oct 10, 2020",54670996
88,"Oct 09, 2020",54597777
89,"Oct 08, 2020",54553988
90,"Oct 07, 2020",54530005
91,"Oct 06, 2020",54483954
92,"Oct 05, 2020",54447673
93,"Oct 04, 2020",54400552
94,"Oct 03, 2020",54363474
95,"Oct 02, 2020",54342007
96,"Oct 01, 2020",54274719
97,"Sep 30, 2020",54253128
98,"Sep 29, 2020",54200481
99,"Sep 28, 2020",54156314
100,"Sep 27, 2020",54133987
101,"Sep 26, 2020",54079775
102,"Sep 25, 2020",54064452
103,"Sep 24, 2020",54017547
104,"Sep 23, 2020",53977552
105,"Sep 22, 2020",53947345
106,"Sep 21, 2020",53897442
107,"Sep 20, 2020",53874669
108,"Sep 19, 2020",53830258
109,"Sep 18, 2020",53775172
110,"Sep 17, 2020",53751874
111,"Sep 16, 2020",53703778
112,"Sep 15, 2020",53674747
113,"Sep 14, 2020",53634790
114,"Sep 13, 2020",53591694
115,"Sep 12, 2020",53575212
116,"Sep 11, 2020",53524205
117,"Sep 10, 2020",53504279
118,"Sep 09, 2020",53467691
119,"Sep 08, 2020",53425635
120,"Sep 07, 2020",53405701
121,"Sep 06, 2020",53364593
122,"Sep 05, 2020",53343526
123,"Sep 04, 2020",53307785
124,"Sep 03, 2020",53264938
125,"Sep 02, 2020",53236722
126,"Sep 01, 2020",53193624
127,"Aug 31, 2020",53172942
128,"Aug 30, 2020",53134626
129,"Aug 29, 2020",53092773
130,"Aug 28, 2020",53075277
131,"Aug 27, 2020",53033100
132,"Aug 26, 2020",53017708
133,"Aug 25, 2020",52980709
134,"Aug 24, 2020",52928509
135,"Aug 23, 2020",52905086
136,"Aug 22, 2020",52866757
137,"Aug 21, 2020",52845759
138,"Aug 20, 2020",52790178
139,"Aug 19, 2020",52748656
140,"Aug 18, 2020",52723143
141,"Aug 17, 2020",52679545
142,"Aug 16, 2020",52664855
143,"Aug 15, 2020",52602380
144,"Aug 14, 2020",52551477
145,"Aug 13, 2020",52532141
146,"Aug 12, 2020",52479010
147,"Aug 11, 2020",52443982
148,"Aug 10, 2020",52397682
149,"Aug 09, 2020",52353235
150,"Aug 08, 2020",52321780
151,"Aug 07, 2020",52281159
152,"Aug 06, 2020",52265582
153,"Aug 05, 2020",52217981
154,"Aug 04, 2020",52162047
155,"Aug 03, 2020",52135255
156,"Aug 02, 2020",52092347
157,"Aug 01, 2020",52071410
158,"Jul 31, 2020",52027242
159,"Jul 30, 2020",51961031
160,"Jul 29, 2020",51933930
161,"Jul 28, 2020",51874740
162,"Jul 27, 2020",51838178
163,"Jul 26, 2020",51769259
164,"Jul 25, 2020",51711047
165,"Jul 24, 2020",51682492
166,"Jul 23, 2020",51621718
167,"Jul 22, 2020",51592769
168,"Jul 21, 2020",51531460
169,"Jul 20, 2020",51479974
170,"Jul 19, 2020",51453168
171,"Jul 18, 2020",51412778
172,"Jul 17, 2020",51381463
173,"Jul 16, 2020",51328847
174,"Jul 15, 2020",51275890
175,"Jul 14, 2020",51249204
176,"Jul 13, 2020",51191262
177,"Jul 12, 2020",51162951
178,"Jul 11, 2020",51114667
179,"Jul 10, 2020",51072983
180,"Jul 09, 2020",51048695
181,"Jul 08, 2020",50985962
182,"Jul 07, 2020",50969947
183,"Jul 06, 2020",50922841
184,"Jul 05, 2020",50883886
185,"Jul 04, 2020",50849128
186,"Jul 03, 2020",50807793
187,"Jul 02, 2020",50790551
188,"Jul 01, 2020",50744373
189,"Jun 30, 2020",50681131
190,"Jun 29, 2020",50658095
191,"Jun 28, 2020",50611531
192,"Jun 27, 2020",50586619
193,"Jun 26, 2020",50544849
194,"Jun 25, 2020",50493134
195,"Jun 24, 2020",50472691
196,"Jun 23, 2020",50425787
197,"Jun 22, 2020",50408653
198,"Jun 21, 2020",50330643
199,"Jun 20, 2020",50285579
200,"Jun 19, 2020",50266762
201,"Jun 18, 2020",50229741
202,"Jun 17, 2020",50198891
203,"Jun 16, 2020",50152553
204,"Jun 15, 2020",50100072
205,"Jun 14, 2020",50074411
206,"Jun 13, 2020",50040130
207,"Jun 12, 2020",50019999
208,"Jun 11, 2020",49977636
209,"Jun 10, 2020",49927417
210,"Jun 09, 2020",49902586
211,"Jun 08, 2020",49861053
212,"Jun 07, 2020",49841267
213,"Jun 06, 2020",49793766
214,"Jun 05, 2020",49752400
215,"Jun 04, 2020",49727947
216,"Jun 03, 2020",49685422
217,"Jun 02, 2020",49670547
218,"Jun 01, 2020",49625835
219,"May 31, 2020",49592093
220,"May 30, 2020",49567665
221,"May 29, 2020",49534814
222,"May 28, 2020",49514712
223,"May 27, 2020",49477299
224,"May 26, 2020",49426707
225,"May 25, 2020",49399326
226,"May 24, 2020",49345089
227,"May 23, 2020",49324029
228,"May 22, 2020",49277711
229,"May 21, 2020",49212502
230,"May 20, 2020",49187869
231,"May 19, 2020",49137349
232,"May 18, 2020",49113120
233,"May 17, 2020",49049206
234,"May 16, 2020",48993306
235,"May 15, 2020",48958162
236,"May 14, 2020",48896393
237,"May 13, 2020",48863513
238,"May 12, 2020",48797754
239,"May 11, 2020",48729910
240,"May 10, 2020",48692339
241,"May 09, 2020",48596833
242,"May 08, 2020",48559037
243,"May 07, 2020",48457904
244,"May 06, 2020",48397755
245,"May 05, 2020",48373011
246,"May 04, 2020",48321491
247,"May 03, 2020",48305123
248,"May 02, 2020",48260410
249,"May 01, 2020",48204375
250,"Apr 30, 2020",48177765
251,"Apr 29, 2020",48126954
252,"Apr 28, 2020",48106471
253,"Apr 27, 2020",48066177
254,"Apr 26, 2020",48022351
255,"Apr 25, 2020",47999969
256,"Apr 24, 2020",47960512
257,"Apr 23, 2020",47940056
258,"Apr 22, 2020",47888302
259,"Apr 21, 2020",47848102
260,"Apr 20, 2020",47826032
261,"Apr 19, 2020",47784041
262,"Apr 18, 2020",47766528
263,"Apr 17, 2020",47718896
264,"Apr 16, 2020",47680568
265,"Apr 15, 2020",47658673
266,"Apr 14, 2020",47608982
267,"Apr 13, 2020",47599472
268,"Apr 12, 2020",47546055
269,"Apr 11, 2020",47507377
270,"Apr 10, 2020",47485935
271,"Apr 09, 2020",47442611
272,"Apr 08, 2020",47407422
273,"Apr 07, 2020",47363453
274,"Apr 06, 2020",47318103
275,"Apr 05, 2020",47299719
276,"Apr 04, 2020",47246268
277,"Apr 03, 2020",47229273
278,"Apr 02, 2020",47182415
279,"Apr 01, 2020",47141605
280,"Mar 31, 2020",47119552
281,"Mar 30, 2020",47079555
282,"Mar 29, 2020",47065538
283,"Mar 28, 2020",47018650
284,"Mar 27, 2020",46981608
285,"Mar 26, 2020",46960435
286,"Mar 25, 2020",46916457
287,"Mar 24, 2020",46891751
288,"Mar 23, 2020",46852372
289,"Mar 22, 2020",46807621
290,"Mar 21, 2020",46783958
291,"Mar 20, 2020",46734135
292,"Mar 19, 2020",46721606
293,"Mar 18, 2020",46687059
294,"Mar 17, 2020",46656942
295,"Mar 16, 2020",46627376
296,"Mar 15, 2020",46597964
297,"Mar 14, 2020",46585354
298,"Mar 13, 2020",46547238
299,"Mar 12, 2020",46501162
300,"Mar 11, 2020",46489183
301,"Mar 10, 2020",46459055
302,"Mar 09, 2020",46449125
303,"Mar 08, 2020",46419723
304,"Mar 07, 2020",46395508
305,"Mar 06, 2020",46380703
306,"Mar 05, 2020",46352991
307,"Mar 04, 2020",46341874
308,"Mar 03, 2020",46301596
309,"Mar 02, 2020",46278908
310,"Mar 01, 2020",46269405
311,"Feb 29, 2020",46244645
312,"Feb 28, 2020",46235497
313,"Feb 27, 2020",46192585
314,"Feb 26, 2020",46168931
315,"Feb 25, 2020",46153596
316,"Feb 24, 2020",46128902
317,"Feb 23, 2020",46109417
318,"Feb 22, 2020",46084962
319,"Feb 21, 2020",46058779
320,"Feb 20, 2020",46048457
321,"Feb 19, 2020",46008665
322,"Feb 18, 2020",45996296
323,"Feb 17, 2020",45966449
324,"Feb 16, 2020",45935320
325,"Feb 15, 2020",45923950
326,"Feb 14, 2020",45887470
327,"Feb 13, 2020",45871353
328,"Feb 12, 2020",45840572
329,"Feb 11, 2020",45811899
330,"Feb 10, 2020",45790139
331,"Feb 09, 2020",45758715
332,"Feb 08, 2020",45743857
333,"Feb 07, 2020",45717091
334,"Feb 06, 2020",45681753
335,"Feb 05, 2020",45666254
336,"Feb 04, 2020",45629234
337,"Feb 03, 2020",45615989
