,Sub-municipality,Number of hotels
0,Municipio I - Historical Center-Prati,724
1,Municipio II - Parioli/Nomentano-San Lorenzo,70
2,Municipio XIII - Aurelia,36
3,Municipio IX - EUR,29
4,Municipio VII - San Giovanni/Cinecittà,27
5,Municipio III - Monte Sacro,19
6,Municipio VI - Roma Delle Torri,17
7,Municipio XV - Cassia Flaminia,16
8,Municipio XII - Monte Verde,16
9,Municipio XIV - Monte Mario,16
10,Municipio X - Ostia,15
11,Municipio IV - Tiburtina,16
12,Municipio V - Prenestino/Centocelle,12
13,Municipio VIII - Appia Antica,14
14,Municipio XI - Arvalia Portuense,9
