,Football Club,Matchday,Broadcasting,Commercial
0,FC Barcelona,159.2,298.1,383.5
1,Real Madrid,144.8,257.9,354.6
2,Manchester United,120.6,273.7,317.2
3,Bayern Munich,92.4,211.2,356.5
4,Paris Saint-Germain,115.9,156.6,363.4
5,Manchester City,62.4,287.2,261.0
6,Liverpool,94.5,299.3,210.9
7,Tottenham Hotspur,92.5,276.7,151.9
8,Chelsea,75.6,227.1,210.4
9,Juventus,65.6,208.5,185.6
10,Arsenal,109.2,210.6,125.8
11,Borussia Dortmund,59.6,167.3,150.2
12,Atlético de Madrid,58.6,209.4,99.6
13,FC Internazionale Milano,50.9,159.2,154.5
14,Schalke 04,53.6,161.1,110.1
15,AS Roma,31.8,144.5,54.7
16,Olympique Lyonnais,41.8,122.0,57.0
17,West Ham United,30.8,144.5,41.1
18,Everton,16.6,151.7,44.7
19,SSC Napoli,15.9,145.1,46.4
