,Month,House price index
0,Sep '19,117.81
1,Aug '19,117.9
2,Jul '19,119.36
3,Jun '19,116.9
4,May '19,115.09
5,Apr '19,116.7
6,Mar '19,115.01
7,Feb '19,115.86
8,Jan '19,116.66
9,Dec '18,115.53
10,Nov '18,117.8
11,Oct '18,119.1
12,Sep '18,118.29
13,Aug '18,119.04
14,Jul '18,120.32
15,Jun '18,119.13
16,May '18,118.78
17,Apr '18,118.47
18,Mar '18,117.25
19,Feb '18,118.62
20,Jan '18,119.1
21,Dec '17,118.37
22,Nov '17,118.23
23,Oct '17,119.59
24,Sep '17,120.1
25,Aug '17,120.91
26,July '17,121.27
27,Jun '17,119.19
28,May '17,119.38
29,Apr '17,119.1
30,Mar '17,118.02
31,Feb '17,118.34
32,Jan '17,118.06
