,Year,Public,Private
0,1965,11610,1400
1,1966,11894,1400
2,1967,12250,1400
3,1968,12718,1400
4,1969,13037,1300
5,1970,13336,1311
6,1971,13753,1300
7,1972,13848,1300
8,1973,14044,1300
9,1974,14103,1300
10,1975,14304,1300
11,1976,14314,1342
12,1977,14203,1343
13,1978,14088,1353
14,1979,13616,1300
15,1980,13231,1339
16,1981,12764,1400
17,1982,12405,1400
18,1983,12271,1400
19,1984,12304,1400
20,1985,12388,1362
21,1986,12333,1336
22,1987,12076,1247
23,1988,11687,1206
24,1989,11390,1163
25,1990,11341,1136
26,1991,11544,1131
27,1992,11737,1125
28,1993,11963,1118
29,1994,12215,1138
30,1995,12502,1163
31,1996,12849,1178
32,1997,13056,1185
33,1998,13195,1212
34,1999,13371,1229
35,2000,13517,1264
36,2001,13736,1296
37,2002,14069,1306
38,2003,14339,1311
39,2004,14618,1331
40,2005,14909,1349
41,2006,15081,1360
42,2007,15086,1364
43,2008,14980,1342
44,2009,14952,1309
45,2010,14860,1299
46,2011,14749,1291
47,2012,14753,1302
48,2013,14794,1312
49,2014,14943,1373
50,2015,15050,1446
51,2016,15138,1474
52,2017*,15222,1481
53,2018*,15264,1492
54,2019*,15313,1494
55,2020*,15473,1505
56,2021*,15661,1517
57,2022*,15823,1515
58,2023*,15863,1520
59,2024*,15748,1521
60,2025*,15601,1518
61,2026*,15420,1514
62,2027*,15334,1514
63,2028*,15346,1515
