,Year,GDP per capita in U.S. dollars
0,2025*,9020.36
1,2024*,8617.72
2,2023*,8232.06
3,2022*,7806.21
4,2021*,7400.79
5,2020*,7033.08
6,2019*,7463.97
7,2018*,7353.64
8,2017*,7187.49
9,2016,7033.49
10,2015,6867.52
11,2014,6622.44
12,2013,6569.79
13,2012,6318.54
14,2011,6171.48
15,2010,6224.22
16,2009,6172.79
17,2008,6366.7
18,2007,5973.55
19,2006,5623.32
20,2005,5091.59
21,2004,4847.17
22,2003,4494.1
23,2002,4327.55
24,2001,4047.31
25,2000,3728.55
26,1999,3675.55
27,1998,3513.88
28,1997,3270.01
29,1996,3116.21
30,1995,2969.99
31,1994,2719.64
32,1993,2689.61
33,1992,2610.53
34,1991,2392.79
35,1990,2274.42
36,1989,2047.71
37,1988,1923.88
38,1987,1693.04
39,1986,1561.26
40,1985,1423.42
