,Cricket player,Number of balls faced
0,DA Miller  (South Africa v Bangladesh - 2017),35
1,RG Sharma  (India v Sri Lanka - 2017),35
2,S Wickramasekara (Czech Republic v Turkey - 2019),35
3,S Periyalwar (Romania v Turkey - 2019),39
4,HG Munsey (Scotland vs Netherlands - 2019),41
5,Shaheryar Butt (Belgium v Czech Republic - 2020),41
6,Hazratullah Zazai  (Afghanistan v Ireland - 2019),42
7,JP Kotze (Namibia v Botswana - 2019),43
8,RE Levi  (South Africa v New Zealand - 2012),45
9,F du Plessis  (South Africa v West Indies - 2015),46
