,Quarter,Number of users in millions
0,Q3 '20,1820
1,Q2 '20,1785
2,Q1 '20,1734
3,Q4 '19,1657
4,Q3 '19,1623
5,Q2 '19,1587
6,Q1 '19,1562
7,Q4 '18,1523
8,Q3 '18,1495
9,Q2 '18,1471
10,Q1 '18,1449
11,Q4 '17,1401
12,Q3 '17,1368
13,Q2 '17,1325
14,Q1 '17,1284
15,Q4 '16,1227
16,Q3 '16,1179
17,Q2 '16,1128
18,Q1 '16,1090
19,Q4 '15,1038
20,Q3 '15,1007
21,Q2 '15,968
22,Q1 '15,936
23,Q4 '14,890
24,Q3 '14,864
25,Q2 '14,829
26,Q1 '14,802
27,Q4 '13,757
28,Q3 '13,728
29,Q2 '13,699
30,Q1 '13,665
31,Q4 '12,618
32,Q3 '12,584
33,Q2 '12,552
34,Q1 '12,526
35,Q4 '11,483
36,Q3 '11,457
37,Q2 '11,417
38,Q1 '11,372
