,Year,Penetration rate among iOS mobile device users
0,BlockArt Free,43.67%
1,Subway Surfers,6.67%
2,Car Racing Free (Street Racer),6.39%
3,Highway Rider,6.39%
4,Candy Crush Saga,6.26%
5,Solitaire,5.44%
6,Hay Day,4.76%
7,Temple Run,4.63%
8,Clash of Clans,3.95%
9,Zynga Poker - Texas Holdem,3.67%
10,Shoot the Suits Free,3.4%
11,Temple Run 2,3.4%
12,2048,3.27%
13,Crossy Road - Endless Arcade Hopper,3.13%
14,QuizUp,2.86%
15,Candy Crush Soda Saga,2.72%
16,8 Ball Pool,2.59%
17,Dream League Soccer,2.59%
18,Flow Free,2.45%
19,Top Eleven 2017 - Be a Soccer Manager,2.45%
