,Year,Gross domestic product in billion international dollars
0,2021*,961.36
1,2020*,860.92
2,2019*,838.55
3,2018,763.99
4,2017,690.49
5,2016,629.95
6,2015,581.6
7,2014,538.75
8,2013,497.55
9,2012,461.12
10,2011,425.79
11,2010,391.65
12,2009,365.12
13,2008,344.07
14,2007,319.86
15,2006,292.43
16,2005,265.65
17,2004,242.35
18,2003,222.41
19,2002,206.43
20,2001,193.83
21,2000,180.92
22,1999,167.58
23,1998,156.7
24,1997,147.52
25,1996,137.71
26,1995,128.78
27,1994,120.39
28,1993,112.78
29,1992,105.61
30,1991,98.52
31,1990,91.46
32,1989,84.28
33,1988,77.76
34,1987,73.36
35,1986,69.55
36,1985,65.56
37,1984,61.26
