,State,Real GDP in billion chained (2012) U.S. dollars
0,California,2798.68
1,Texas,1799.06
2,New York,1462.69
3,Florida,953.21
4,Illinois,783.07
5,Pennsylvania,729.75
6,Ohio,616.74
7,New Jersey,565.53
8,Georgia,540.6
9,Washington,533.11
10,Massachusetts,519.92
11,North Carolina,509.61
12,Virginia,486.89
13,Michigan,474.3
14,Maryland,374.65
15,Colorado,354.3
16,Minnesota,339.65
17,Indiana,332.95
18,Tennessee,331.63
19,Arizona,322.29
20,Wisconsin,306.26
21,Missouri,291.86
22,Connecticut,249.47
23,Louisiana,241.43
24,Oregon,222.82
25,South Carolina,213.87
26,Alabama,203.29
27,Oklahoma,202.06
28,Kentucky,189.57
29,Iowa,173.94
30,Utah,165.42
31,Kansas,156.38
32,Nevada,154.58
33,District of Columbia,126.17
34,Arkansas,119.82
35,Nebraska,115.18
36,Mississippi,104.46
37,New Mexico,97.53
38,Hawaii,83.46
39,New Hampshire,78.06
40,Idaho,72.71
41,West Virginia,72.29
42,Delaware,63.26
43,Maine,58.63
44,Rhode Island,55.13
45,Alaska,54.73
46,North Dakota,54.22
47,Montana,47.32
48,South Dakota,46.92
49,Wyoming,39.47
50,Vermont,30.53
