,State,Percentage of homicides
0,Alabama*,100%
1,Missouri,85.23%
2,Louisiana,83.69%
3,Delaware,83.33%
4,Mississippi,83.1%
5,Maryland,82.55%
6,Illinois*,81.94%
7,Georgia,80.99%
8,Tennessee,80.04%
9,District of Columbia,79.47%
10,Indiana,79.25%
11,South Carolina,76.68%
12,Wisconsin,76.4%
13,Virginia,75.96%
14,Kentucky,75.53%
15,Rhode Island,75%
16,Pennsylvania,73.7%
17,Texas,73.48%
18,North Carolina,72.23%
19,Michigan,71.64%
20,Arkansas,71.56%
21,Colorado,71.01%
22,Kansas,70.91%
23,New Jersey,70.63%
24,Ohio,70.15%
25,Massachusetts,68.38%
26,California,67.68%
27,Nevada,66.67%
28,Wyoming,66.67%
29,Oklahoma,66.34%
30,Alaska,65.96%
31,Connecticut,65.06%
32,New Mexico,63.5%
33,South Dakota,61.54%
34,Nebraska,60.47%
35,Arizona,59.88%
36,West Virginia,59.65%
37,Washington,59.48%
38,Idaho,59.38%
39,Oregon,59.26%
40,New York,57.33%
41,New Hampshire,57.14%
42,North Dakota,56.25%
43,Montana,50%
44,Maine,47.83%
45,Utah,47.46%
46,Minnesota,47.12%
47,Iowa *,46.51%
48,Hawaii,33.33%
49,Vermont,30%
