,Quarter,Value in billion Argentine pesos
0,Q2 2020**,607.0
1,Q1 2020**,631.0
2,Q4 2019**,672.4
3,Q3 2019**,683.8
4,Q2 2019**,750.2
5,Q1 2019**,665.5
6,Q4 2018*,679.9
7,Q3 2018*,696.5
8,Q2 2018*,747.4
9,Q1 2018*,707.2
10,Q4 2017,724.6
11,Q3 2017,721.1
12,Q2 2017,778.4
13,Q1 2017,681.4
14,Q4 2016,693.2
15,Q3 2016,694.4
16,Q2 2016,760.7
17,Q1 2016,677.7
18,Q4 2015,703.7
19,Q3 2015,718.3
20,Q2 2015,791.2
21,Q1 2015,672.7
22,Q4 2014,686.7
23,Q3 2014,690.9
24,Q2 2014,760.6
25,Q1 2014,671.1
26,Q4 2013,706.6
27,Q3 2013,721.5
28,Q2 2013,776.5
29,Q1 2013,677.1
30,Q4 2012,707.0
31,Q3 2012,703.5
32,Q2 2012,730.8
33,Q1 2012,672.7
34,Q4 2011,703.1
35,Q3 2011,711.4
36,Q2 2011,766.3
37,Q1 2011,662.3
38,Q4 2010,668.2
39,Q3 2010,668.6
40,Q2 2010,733.7
41,Q1 2010,611.6
42,Q4 2009,615.2
43,Q3 2009,610.5
44,Q2 2009,631.2
45,Q1 2009,578.6
46,Q4 2008,613.5
47,Q3 2008,647.1
48,Q2 2008,711.4
49,Q1 2008,616.7
50,Q4 2007,625.9
51,Q3 2007,610.4
52,Q2 2007,674.6
53,Q1 2007,576.8
54,Q4 2006,572.8
55,Q3 2006,563.0
56,Q2 2006,614.1
57,Q1 2006,532.3
58,Q4 2005,522.3
59,Q3 2005,514.7
60,Q2 2005,581.7
61,Q1 2005,493.6
62,Q4 2004,484.5
63,Q3 2004,481.2
64,Q2 2004,514.4
65,Q1 2004,460.4
