,Month,Number of cases
0,Jun 25,305
1,Jun 24,304
2,Jun 23,405
3,Jun 22,648
4,Jun 21,718
5,Jun 20,765
6,Jun 19,747
7,Jun 18,774
8,Jun 17,775
9,Jun 16,797
10,Jun 15,777
11,Jun 14,781
12,Jun 13,768
13,Jun 12,754
14,Jun 11,754
15,Jun 10,509
16,Jun 9,482
17,Jun 8,327
18,Jun 7,350
19,Jun 6,305
20,Jun 5,322
21,Jun 4,407
22,Jun 3,709
23,Jun 2,709
24,Jun 1,767
25,May 31,972
26,May 30,1069
27,May 29,1337
28,May 28,1018
29,May 27,832
30,May 26,706
31,May 25,862
32,May 24,994
33,May 23,927
34,May 22,838
35,May 21,910
36,May 20,842
37,May 19,530
38,May 18,495
39,May 17,998
40,May 16,1094
41,May 15,1275
42,May 14,1164
43,May 13,958
44,May 12,626
45,May 11,504
46,May 10,425
47,May 9,256
48,May 8,328
49,May 7,78
50,May 6,115
51,May 5,62
52,May 4,49
53,May 3,61
54,May 2,79
55,May 1,24
56,Apr 30,56
57,Apr 29,60
58,Apr 28,33
59,Apr 27,35
60,Apr 26,58
61,Apr 25,46
62,Apr 24,32
63,Apr 23,28
64,Apr 22,57
65,Apr 21,38
66,Apr 20,33
67,Apr 19,28
68,Apr 18,32
69,Apr 17,25
70,Apr 16,31
71,Apr 15,41
72,Apr 14,25
73,Apr 13,26
74,Apr 12,32
75,Apr 11,35
76,Apr 10,32
77,Apr 9,54
78,Apr 8,29
79,Apr 7,33
80,Apr 6,24
81,Apr 5,23
82,Apr 4,15
83,Apr 3,16
84,Apr 2,21
85,Apr 1,5
86,Mar 31,12
87,Mar 30,16
88,Mar 29,14
89,Mar 28,15
90,Mar 27,11
91,Mar 26,12
92,Mar 25,5
93,Mar 24,3
94,Mar 23,8
95,Mar 22,4
96,Mar 21,9
97,Mar 20,7
98,Mar 19,7
99,Mar 18,0
100,Mar 17,5
101,Mar 16,4
102,Mar 15,0
103,Mar 14,8
104,Mar 13,1
105,Mar 12,0
106,Mar 11,3
107,Mar 10,0
108,Mar 9,3
109,Mar 8,0
110,Mar 7,8
111,Mar 6,1
112,Mar 5,2
113,Mar 4,1
114,Mar 3,0
115,Mar 2,4
116,Mar 1,2
117,Feb 29,3
118,Feb 28,3
119,Feb 27,4
120,Feb 26,4
121,Feb 25,5
122,Feb 24,2
123,Feb 23,2
124,Feb 22,2
125,Feb 21,10
126,Feb 20,3
127,Feb 19,5
128,Feb 18,5
129,Feb 17,5
130,Feb 16,1
131,Feb 15,1
132,Feb 14,2
133,Feb 13,0
134,Feb 12,6
135,Feb 11,2
136,Feb 10,1
137,Feb 9,4
138,Feb 8,0
139,Feb 7,1
140,Feb 6,0
141,Feb 5,0
142,Feb 4,1
