,Instagram Post,Number of likes in millions
0,@world_record_egg: Photo of an egg (Jan '19),53.9
1,@kyliejenner: First photo of her daughter (Feb '18),18.7
2,@xxxtentacion: Final image before his death (May '18),17.5
3,@tentree: Plant trees on Earth Week (Apr '19),15.7
4,@jenniferaniston: Photo with Friends co-stars (Oct '18),15.3
5,@therock: Photo of his wedding (Aug '19),14.7
6,@selenagomez: Photos with friends (Feb '19),14.5
7,"@selenagomez: Photo of herself in Florence, Italy (Jul '19)",14.5
8,@kyliejenner: Photo with family (Apr '19),13.7
9,@justinbieber: Engagement to Hailey Baldwin (Jul '18),13.4
