,Baseball player,Number of hits
0,Pete Rose,4256
1,Ty Cobb,4189
2,Hank Aaron,3771
3,Stan Musial,3630
4,Tris Speaker,3514
5,Derek Jeter,3465
6,Cap Anson,3435
7,Honus Wagner,3420
8,Carl Yastrzemski,3419
9,Paul Molitor,3319
10,Eddie Collins,3315
11,Willie Mays,3283
12,Eddie Murray,3255
13,Nap Lajoie,3243
14,Albert Pujols,3236
15,Cal Ripken,3184
16,Adrian Beltre,3166
17,George Brett,3154
18,Paul Waner,3152
19,Robin Yount,3142
20,Tony Gwynn,3141
21,Alex Rodriguez,3115
22,Dave Winfield,3110
23,Ichiro Suzuki,3089
24,Craig Biggio,3060
25,Rickey Henderson,3055
26,Rod Carew,3053
27,Lou Brock,3023
28,Rafael Palmeiro,3020
29,Wade Boggs,3010
30,Al Kaline,3007
31,Roberto Clemente,3000
