,Quarter,Revenue in million U.S. dollars
0,Q4 '19,612.32
1,Q3 '19,495.61
2,Q2 '19,532.58
3,Q1 '19,578.41
4,Q4 '18,799.93
5,Q3 '18,592.88
6,Q2 '18,617.4
7,Q1 '18,626.54
8,Q4 '17,873.17
9,Q3 '17,634.47
10,Q2 '17,662.62
11,Q1 '17,673.63
12,Q4 '16,904.87
13,Q3 '16,686.56
14,Q2 '16,723.76
15,Q1 '16*,698.44
16,Q4 '15,917.17
17,Q3 '15,713.6
18,Q2 '15,738.4
19,Q1 '15,750.36
20,Q4 '14,883.23
21,Q3 '14*,714.27
22,Q2 '14,716.21
23,Q1 '14,728.42
24,Q4 '13,768.45
25,Q3 '13,595.06
26,Q2 '13,608.75
27,Q1 '13,601.4
28,Q4 '12,638.3
29,Q3 '12,568.55
30,Q2 '12,568.34
31,Q1 '12,559.28
32,Q4 '11,492.16
33,Q3 '11,430.16
34,Q2 '11,392.58
35,Q1 '11,295.52
36,Q4 '10,172.22
37,Q3 '10,81.78
38,Q2 '10,38.67
39,Q1 '10,20.27
40,Q4 '09,9.25
41,Q3 '09,4.0
42,Q2 '09,1.21
