,ice hockey team,Number of followers in thousands
0,Pittsburgh Penguins,1452
1,Chicago Blackhawks,1340
2,Boston Bruins,1263
3,Toronto Maple Leafs,1017
4,New York Rangers,967
5,Washington Capitals,757
6,Detroit Red Wings,743
7,Vegas Golden Knights,658
8,Montreal Canadiens,645
9,Los Angeles Kings,612
10,Edmonton Oilers,586
11,St Louis Blues,580
12,Philadelphia Flyers,569
13,Tampa Bay Lightning,518
14,San Jose Sharks,509
15,Vancouver Canucks,443
16,Dallas Stars,418
17,Colorado Avalanche,418
18,Minnesota Wild,413
19,Winnipeg Jets,404
20,Nashville Predators,387
21,Calgary Flames,380
22,Buffalo Sabres,361
23,Anaheim Ducks,357
24,Columbus Blue Jackets,347
25,New York Islanders,323
26,New Jersey Devils,311
27,Carolina Hurricanes,309
28,Ottawa Senators,287
29,Arizona Coyotes,257
30,Florida Panthers,232
