,Richest people,Wealth in billion yuan
0,Ma Yun & family (Alibaba),27.5
1,Ma Huateng (Tencent),26.0
2,Xu Jiayin (Evergrande),21.0
3,He Xiangjian & He Jianfeng (Midea),18.0
4,Yang Huiyan & family (Country Garden),17.5
5,Sun Piaoyang & family (Hengrui Medicine),17.5
6,Huang Zheng (Pinduoduo Online Shopping),13.5
7,Ding Lei (NetEase),12.5
8,Yan Hao & family (China Pacific Construction),12.0
9,Wang Jianlin & family (Wanda),12.0
10,Zhang Yong & Shu Ping (HaiDiLao),12.0
11,Wang Wei (Shunfeng Express),11.0
12,Zhang Zhidong (Tencent),10.5
13,Chen Jianhua & family (Hengli),10.5
14,Qin Yinglin & Qian Ying (Pig farming),10.0
15,Zhang Jindong (Suning),10.0
16,Yao Zhenhua (Baoneng),10.0
17,Li Shufu & family (Geely),10.0
18,Wang Wenyin (Amer),10.0
19,Xu Rongmao & family (Shimao),9.5
20,Zhang Yiming (ByteDance),9.5
21,Lin Li (Liye),9.5
