,Vegetable,Amount in million metric tons
0,Tomatoes,182.3
1,"Onions, dry",97.86
2,Cucumbers and gherkins,83.75
3,Cabbages and other brassicas,71.45
4,Eggplants (aubergines),52.31
5,Carrots and turnips,42.83
6,"Chillies and peppers, green",36.1
7,Garlic,28.16
8,Spinach,27.88
9,"Pumpkins, squash and gourds",27.44
10,Lettuce and chicory,26.86
11,Cauliflowers and broccoli,26.0
12,"Beans, green",24.22
13,"Peas, green",20.7
14,"Maize, green",11.73
15,Mushrooms and truffles,10.24
16,Okra,9.64
17,Asparagus,8.95
18,"Onions, shallots, green",5.13
19,Cassava leaves,2.35
20,"Leeks, other alliaceous vegetables",2.17
21,String beans,1.87
22,"Vegetables, leguminous nes",1.51
23,Artichokes,1.5
