,Response,Percentage of budget invested in IT
0,"Nicklaus Children's Health System (Miami, FL)",10.61%
1,"Baptist Health South Florida (Coral Gables, FL)",9%
2,"Sheridan Memorial Hospital (Sheridan, WY)",8.38%
3,"Atrium Health (Charlotte, NC)",5.71%
4,"UCLA Health (Los Angeles, CA)",5.35%
5,"Lehigh Valley Hospital (Allentown, PA)",4.4%
6,"Henry Ford Health System (Detroit, MI)",4.27%
7,"Ceders-Sinai Health System (Los Angeles, CA)",3.3%
8,"Avera Health (Sioux Falls, SD)",3.3%
9,"Altru Health System (Grand Forks, ND)",3.2%
