,Response,Share of respondents
0,Travelers being rude to crew/staff,62%
1,People who do not discipline their children when they are misbehaving or disturbing other passengers,57%
2,Someone that crowds your seat and/or hogs the extra middle seat,51%
3,Travelers talking loudly on the plane,49%
4,People blocking the baggage claim area,44%
5,Those that recline their seat into your seating area,44%
6,People that bring stinky food on the plane,44%
7,Travelers that hog the carry-on bin,43%
8,Those that rush of the plane vs. waiting for passengers in front to exit,41%
9,People who block aisles during flight,41%
