,ice hockey team,Payroll in million U.S. dollars
0,Dallas Stars,89
1,Columbus Blue Jackets,87
2,Nashville Predators,86
3,Detroit Red Wings,85
4,Vegas Golden Knights,84
5,Edmonton Oilers,84
6,Pittsburgh Penguins,83
7,St. Louis Blues,82
8,Winnipeg Jets,82
9,San Jose Sharks,82
10,Washington Capitals,82
11,Calgary Flames,81
12,Los Angeles Kings,81
13,Minnesota Wild,81
14,Boston Bruins,81
15,Vancouver Canucks,81
16,Toronto Maple Leafs,81
17,Anaheim Ducks,80
18,Florida Panthers,78
19,Tampa Bay Lightning,77
20,Buffalo Sabres,77
21,Montreal Canadiens,77
22,Chicago Blackhawks,75
23,New York Rangers,75
24,Philadelphia Flyers,73
25,Arizona Coyotes,73
26,Ottawa Senators,72
27,Colorado Avalanche,71
28,New York Islanders,70
29,New Jersey Devils,69
30,Carolina Hurricanes,66
