,Year,Gross domestic product in billion international dollars
0,2021*,0.64
1,2020*,0.62
2,2019*,0.62
3,2018,0.61
4,2017,0.6
5,2016,0.57
6,2015,0.54
7,2014,0.51
8,2013,0.49
9,2012,0.48
10,2011,0.48
11,2010,0.46
12,2009,0.44
13,2008,0.43
14,2007,0.41
15,2006,0.4
16,2005,0.4
17,2004,0.38
18,2003,0.37
19,2002,0.36
20,2001,0.35
21,2000,0.33
22,1999,0.32
23,1998,0.31
24,1997,0.29
25,1996,0.3
26,1995,0.29
27,1994,0.27
28,1993,0.26
29,1992,0.26
30,1991,0.26
31,1990,0.24
32,1989,0.22
33,1988,0.21
34,1987,0.21
35,1986,0.2
36,1985,0.18
37,1984,0.17
