,Year,Inflation rate compared to previous year
0,2021*,12.05%
1,2020*,13.4%
2,2019,9.8%
3,2018,6.99%
4,2017,6.58%
5,2016,17.87%
6,2015,10.11%
7,2014,7.81%
8,2013,6.98%
9,2012,6.58%
10,2011,8.66%
11,2010,8.5%
12,2009,13.39%
13,2008,12.45%
14,2007,10.66%
15,2006,9.02%
16,2005,18.33%
17,2004,17.97%
18,2003,21.4%
19,2002,22.24%
20,2001,21.36%
21,2000,26.1%
22,1999,26.79%
23,1998,24.46%
24,1997,24.41%
25,1996,43.1%
26,1995,34.91%
27,1994,54.61%
28,1993,183.26%
29,1992,165.73%
30,1991,97.7%
31,1990,109.56%
32,1989,128.29%
33,1988,54.04%
34,1987,47.03%
35,1986,54.8%
36,1985,37.43%
37,1984,20.02%
