,Quarter,Revenue in billion GBP
0,Q1 2020,8.99
1,Q4 2019,11.32
2,Q3 2019,8.42
3,Q2 2019,7.77
4,Q1 2019,8.47
5,Q4 2018,11.13
6,Q3 2018,8.47
7,Q2 2018,7.59
8,Q1 2018,8.07
9,Q4 2017,10.94
10,Q3 2017,8.2
11,Q2 2017,7.31
12,Q1 2017,7.74
13,Q4 2016,10.33
14,Q3 2016,7.57
15,Q2 2016,7.0
16,Q1 2016,7.59
17,Q4 2015,10.63
18,Q3 2015,7.28
19,Q2 2015,7.02
20,Q1 2015,7.66
21,Q4 2014,9.84
22,Q3 2014,7.38
23,Q2 2014,7.1
24,Q1 2014,7.7
25,Q4 2013,9.9
26,Q3 2013,7.35
27,Q2 2013,6.85
28,Q1 2013,7.41
29,Q4 2012,9.75
30,Q3 2012,7.29
