,Year,Gross domestic product in billion international dollars
0,2021*,0.26
1,2020*,0.25
2,2019*,0.25
3,2018*,0.24
4,2017,0.23
5,2016,0.22
6,2015,0.21
7,2014,0.19
8,2013,0.19
9,2012,0.18
10,2011,0.17
11,2010,0.16
12,2009,0.16
13,2008,0.16
14,2007,0.16
15,2006,0.15
16,2005,0.15
17,2004,0.13
18,2003,0.13
19,2002,0.13
20,2001,0.12
21,2000,0.12
22,1999,0.11
23,1998,0.11
24,1997,0.1
25,1996,0.1
26,1995,0.1
27,1994,0.1
28,1993,0.09
29,1992,0.09
30,1991,0.09
31,1990,0.08
32,1989,0.08
33,1988,0.08
34,1987,0.07
35,1986,0.07
36,1985,0.07
37,1984,0.07
