,Year,GDP per capita in U.S. dollars
0,2025*,1994.37
1,2024*,1901.72
2,2023*,1811.66
3,2022*,1732.48
4,2021*,1657.08
5,2020*,1493.12
6,2019*,1523.66
7,2018*,1555.67
8,2017*,1441.55
9,2016*,1377.85
10,2015*,1338.6
11,2014*,1552.47
12,2013*,1471.21
13,2012 *,1357.15
14,2011 *,1402.98
15,2010,1282.37
16,2009,1309.59
17,2008,1367.9
18,2007,1187.89
19,2006,1056.32
20,2005,1007.39
21,2004,1004.87
22,2003,862.27
23,2002,705.62
24,2001,649.52
25,2000,630.7
26,1999,707.44
27,1998,713.69
28,1997,734.6
29,1996,746.87
30,1995,688.96
31,1994,746.71
32,1993,1130.16
33,1992,1115.89
34,1991,1254.63
35,1990,1159.86
36,1989,1194.71
37,1988,1380.51
38,1987,1399.29
39,1986,1242.48
40,1985,979.48
