,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",558.22
1,Professional and business services,391.1
2,Information,326.81
3,Manufacturing,318.82
4,Government and government enterprises,292.07
5,"Educational services, health care, and social assistance",204.26
6,Retail trade,148.58
7,Wholesale trade,144.43
8,"Arts, entertainment, recreation, accommodation, and food services",112.66
9,Construction,88.96
10,Transportation and warehousing,74.97
11,"Agriculture, forestry, fishing, and hunting",51.8
12,Utilities,35.52
13,"Mining, quarrying, and oil and gas extraction",16.04
