,NFL Game,Rating,Viewers (in millions)
0,Steelers vs. Patriots (NBC) (week 1),16.2,27.4
1,Giants vs. Cowboys (NBC) (week 1),15.4,26.8
2,Ravens vs. Broncos (CBS) (week 1),13.5,23.3
3,Packers vs. Bears (FOX) (week 1),11.6,20.1
4,Regional Action (CBS) (week 1),-,14.9
5,Vikings vs. 49ers (ESPN) (week 1),8.8,14.3
6,Eagles vs. Falcons (ESPN) (week 1),8.5,13.6
7,Cowboys vs. Eagles (FOX) (week 2),15.5,27.2
8,Seahawks vs. Packers (NBC) (week 2),15.1,26.4
9,"Broncos vs. Chiefs (CBS, NFLN) (week 2)",12.9,21.1
10,Regional Action (CBS) (week 2),-,16.7
11,Falcons vs. Giants (FOX) (week 2),-,15.3
12,Jets vs. Colts (ESPN) (week 2),8.1,12.5
13,Bears vs. Seahawks (CBS) (week 3),12.9,22.1
14,Broncos vs. Lions (NBC) (week 3),13.1,22.1
15,Falcons vs. Cowboys (FOX) (week 3),-,18.3
16,"Wash. vs. Giants (CBS, NFLN) (week 3)",10.5,16.9
17,Regional Action (CBS) (week 3),-,15.1
18,Chiefs vs. Packers (ESPN) (week 3),8.3,13.5
19,Packers vs. 49ers (FOX) (week 4),15,25.9
20,Cowboys vs. Saints (NBC) (week 4),14.1,24.2
21,"Ravens vs. Steelers (CBS, NFLN) (week 4)",11.8,19.4
22,Regional Action (CBS) (week 4),-,15.8
23,Lions vs. Seahawks (ESPN) (week 4),9,14.4
24,Giants vs. Bills (FOX) (week 4),-,12.8
25,Jets vs. Dolphins (CBS) (week 4),-,9.9
26,Patriots vs. Cowboys (CBS) (week 5),15.2,26.1
27,49ers vs. Giants (NBC) (week 5),11.8,19.6
28,Seahawks vs. Bengals (FOX) (week 5),-,18.0
29,"Colts vs. Texans (CBS, NFLN) (week 5)",9.5,15.1
30,Regional Action (CBS) (week 5),-,13.6
31,Steelers vs. Chargers (ESPN) (week 5),7.7,12.2
32,Chargers vs. Packers (CBS) (week 6),14.5,25.0
33,Patriots vs. Colts (NBC) (week 6),13.1,22.8
34,Regional Action (CBS) (week 6),10.9,18.3
35,Panthers vs. Seahawks (FOX) (week 6),10.6,17.9
36,"Falcons vs Saints (CBS, NFLN) (week 6)",9.3,14.8
37,Giants vs. Eagles (ESPN) (week 6),8.7,13.9
38,Cowboys vs. Giants (FOX) (week 7),14.4,24.5
39,Eagles vs. Panthers (NBC) (week 7),12.2,20.6
40,Regional Action (CBS) (week 7),11.6,19.2
41,"Seahawks vs. 49ers (CBS, NFLN) (week 7)",10.5,17.1
42,Saints vs. Colts (FOX) (week 7),7.9,12.5
43,Ravens vs. Cardinals (ESPN) (week 7),7.8,12.2
44,Bills vs. Jaguars (Yahoo!) (week 7),-,1.6
45,Seahawks vs. Cowboys (FOX) (week 8),17,29.4
46,Packers vs. Broncos (NBC) (week 8),13,23.0
47,"Dolphins vs. Patriots (CBS, NFLN) (week 8)",10.9,17.5
48,Giants vs. Saints (FOX) (week 8),10.1,16.6
49,Regional Action (CBS) (week 8),8.4,14.1
50,Colts vs. Panthers (ESPN) (week 8),7.8,12.4
51,Lions vs Chiefs (FOX) (week 8),5.3,8.4
52,Broncos vs. Colts (CBS) (week 9),14.3,24.0
53,Eagles vs. Cowboys (NBC) (week 9),13.6,23.0
54,Packers vs. Panthers (FOX) (week 9),12.5,20.9
55,Regional Action (CBS) (week 9),8.1,13.2
56,Bears vs. Chargers (ESPN) (week 9),7.3,11.4
57,Browns vs. Bengals (NFLN) (week 9),5.5,8.8
58,Patriots vs. Giants (CBS) (week 10),16.3,28.3
59,Vikings vs. Raiders (FOX) (week 10),11.6,19.6
60,Cardinals vs. Seahawks (NBC) (week 10),11.4,19.4
61,Regional Action (CBS) (week 10),8.5,14.2
62,Texans vs. Bengals (ESPN) (week 10),7.7,12.2
63,Bills vs. Jets (NFLN) (week 10),4.8,7.6
64,Packers vs. Vikings (FOX) (week 11),15.5,27.5
65,Bengals vs. Cardinals (NBC) (week 11),10.7,18.0
66,Regional Action (CBS) (week 11),10.4,17.4
67,Bills vs. Patriots (ESPN) (week 11),8.9,14.3
68,Wash. vs Panthers (FOX) (week 11),8.1,13.7
69,Titans vs. Jaguars (NFLN) (week 11),4.2,6.6
70,Panthers vs. Cowboys (CBS) (week 12),14.3,32.5
71,Bears vs. Packers (NBC) (week 12),13.8,27.8
72,Steelers vs. Seahawks (CBS) (week 12),15.4,26.6
73,Eagles vs. Lions (FOX) (week 12),12.3,25.4
74,Patriots vs. Broncos (NBC) (week 12),14.6,25.2
75,Giants vs. Wash. (FOX) (week 12),12.3,20.5
76,Ravens vs. Browns (ESPN) (week 12),6.5,10.1
77,Regional Action (CBS) (week 12),6,9.8
78,Panthers vs. Saints (FOX) (week 13),16.3,28.6
79,Colts vs. Steelers (NBC) (week 13),11.1,19.2
80,"Packers vs. Lions (CBS, NFLN) (week 13)",11,17.8
81,Jets vs. Giants (CBS) (week 13),10.2,17.2
82,Seahawks vs. Vikings (FOX) (week 13),9.4,15.4
83,Cowboys vs. Wash. (ESPN) (week 13),8.7,14.2
84,Cowboys vs. Packers (FOX) (week 14),16.5,28.9
85,Patriots vs. Texans (NBC) (week 14),12.3,21.0
86,Regional Action (CBS) (week 14),10.9,18.6
87,Falcons vs. Panthers (FOX) (week 14),8.9,15.2
88,Giants vs. Dolphins (ESPN) (week 14),7.4,11.5
89,Vikings vs. Cardinals (NFLN) (week 14),5.5,8.7
90,Broncos vs. Steelers (CBS) (week 15),14.5,25.0
91,Panthers vs. Giants (FOX) (week 15),14.5,25.0
92,Cardinals vs. Eagles (NBC) (week 15),10.5,18.1
93,Lions vs. Saints (ESPN) (week 15),6.7,10.9
94,Jets vs. Cowboys (NFLN) (week 15),4.3,7.4
95,Buccaneers vs. Rams (NFLN) (week 15),3.8,6.0
96,Packers vs. Cardinals (FOX) (week 16),15.5,27.8
97,Vikings vs. Giants (NBC) (week 16),10.4,17.9
