,Year,Inflation rate compared to previous year
0,2024*,3.97%
1,2023*,3.98%
2,2022*,4.05%
3,2021*,4.07%
4,2020*,4.09%
5,2019*,3.44%
6,2018,3.43%
7,2017,3.6%
8,2016,4.5%
9,2015,4.9%
10,2014,5.8%
11,2013,9.4%
12,2012,10%
13,2011,9.5%
14,2010,10.53%
15,2009,12.31%
16,2008,9.09%
17,2007,6.2%
18,2006,6.7%
19,2005,4.4%
20,2004,3.82%
21,2003,3.86%
22,2002,3.98%
23,2001,4.31%
24,2000,3.83%
25,1999,5.7%
26,1998,13.13%
27,1997,6.84%
28,1996,9.43%
29,1995,9.96%
30,1994,10.28%
31,1993,7.28%
32,1992,9.86%
33,1991,13.48%
34,1990,11.2%
35,1989,4.57%
36,1988,7.21%
37,1987,9.06%
38,1986,8.89%
39,1985,6.25%
40,1984,6.52%
