,Year,GDP per capita in U.S. dollars
0,2024*,4315.81
1,2023*,4079.38
2,2022*,3860.79
3,2021*,3656.24
4,2020*,3464.02
5,2019*,3345.03
6,2018,3365.52
7,2017,3147.85
8,2016,2996.65
9,2015,2964.96
10,2014,3259.72
11,2013,3200.48
12,2012,2979.74
13,2011,3111.54
14,2010,2896.56
15,2009,2922.59
16,2008,2946.93
17,2007,2549.88
18,2006,2242.73
19,2005,2063.31
20,2004,1999.13
21,2003,1768.6
22,2002,1453.94
23,2001,1376.53
24,2000,1373.92
25,1999,1492.18
26,1998,1519.17
27,1997,1442.43
28,1996,1612.85
29,1995,1479.28
30,1994,1369.64
31,1993,1239.05
32,1992,1343.36
33,1991,1310.61
34,1990,1248.81
35,1989,1109.29
36,1988,1102.83
37,1987,952.58
38,1986,884.05
39,1985,685.33
40,1984,695.13
