,Month,Units sold
0,Dec 19,3941
1,Nov 19,4198
2,Oct 19,3721
3,Sep 19,8803
4,Aug 19,1268
5,Jul 19,4288
6,Jun 19,5260
7,May 19,4554
8,Apr 19,3971
9,Mar 19,10420
10,Feb 19,1705
11,Jan 19,4079
12,Dec 18,3840
13,Nov 18,4435
14,Oct 18,4538
15,Sep 18,8461
16,Aug 18,1059
17,Jul 18,4381
18,Jun 18,4545
19,May 18,3621
20,Apr 18,3782
21,Mar 18,8237
22,Feb 18,1150
23,Jan 18,2270
24,Dec 17,3195
25,Nov 17,3068
26,Oct 17,3302
27,Sep 17,7865
28,Aug 17,786
29,Jul 17,3404
30,Jun 17,5018
31,May 17,3184
32,Apr 17,2735
33,Mar 17,9710
34,Feb 17,1077
35,Jan 17,2795
36,Dec 16,3736
37,Nov 16,4072
38,Oct 16,4027
39,Sep 16,7827
40,Aug 16,776
41,Jul 16,3629
