,Year,Inflation rate compared to previous year
0,2025*,6%
1,2024*,6.1%
2,2023*,6.8%
3,2022*,8.03%
4,2021*,8.73%
5,2020*,10.6%
6,2019*,7.18%
7,2018,9.84%
8,2017,12.37%
9,2016,17.46%
10,2015,17.15%
11,2014,15.49%
12,2013,11.67%
13,2012,7.07%
14,2011,7.68%
15,2010,6.7%
16,2009,13.14%
17,2008,16.51%
18,2007,10.73%
19,2006,11.68%
20,2005,15.1%
21,2004,12.67%
22,2003,26.63%
23,2002,14.85%
24,2001,32.93%
25,2000,25.11%
26,1999,12.47%
27,1998,19.21%
28,1997,24.83%
29,1996,44.49%
30,1995,59.32%
31,1994,24.87%
32,1993,24.94%
33,1992,10.05%
34,1991,18.1%
35,1990,37.24%
36,1989,25.24%
37,1988,31.37%
38,1987,39.76%
39,1986,24.54%
40,1985,10.3%
