,Year,GDP per capita in U.S. dollars
0,2025*,64503.29
1,2024*,62704.08
2,2023*,60780.61
3,2022*,58724.36
4,2021*,57210.82
5,2020*,51885.47
6,2019,54348.23
7,2018,56453.36
8,2017,55967.93
9,2016,51933.81
10,2015,51483.95
11,2014,61652.51
12,2013,65170.85
13,2012,68436.22
14,2011,67222.14
15,2010,56453.83
16,2009,45685.24
17,2008,49151.94
18,2007,45105.41
19,2006,37868.93
20,2005,36151.04
21,2004,32750.68
22,2003,27222.02
23,2002,21644.93
24,2001,19431.46
25,2000,20851.87
26,1999,21726.34
27,1998,20346.82
28,1997,22990.44
29,1996,23106.85
30,1995,20868.05
31,1994,19703.66
32,1993,17424.34
33,1992,18082.04
34,1991,18631.37
35,1990,18833.86
36,1989,18167.79
37,1988,16214.86
38,1987,12973.74
39,1986,11223.65
40,1985,10946.55
