,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",201.42
1,Professional and business services,125.49
2,Government and government enterprises,98.02
3,"Educational services, health care, and social assistance",91.29
4,Retail trade,71.77
5,Wholesale trade,65.91
6,"Arts, entertainment, recreation, accommodation, and food services",53.09
7,Manufacturing,51.36
8,Information,46.16
9,Construction,42.95
10,Transportation and warehousing,29.75
11,Utilities,15.99
12,"Agriculture, forestry, fishing, and hunting",7.11
13,"Mining, quarrying, and oil and gas extraction",1.89
