,Year,Revenue in million U.S. dollars
0,Parasite2020,48.83
1,Green Book 2019,85.08
2,The Shape of Water2018,63.86
3,Moonlight2017,27.85
4,Spotlight2016,45.06
5,Birdman2015,42.34
6,12 Years A Slave2014,56.67
7,Argo2013,136.03
8,The Artist2012,44.67
9,The King's Speech2011,138.8
10,The Hurt Locker2010,17.02
11,Slumdog Millionaire2009,141.32
12,No Country for Old Men2008,74.28
13,The Departed2007,132.38
14,Crash2006,54.58
15,Million Dollar Baby2005,100.49
16,The Lord of the Rings: Return of the King2004,377.85
17,Chicago2003,170.69
18,A Beautiful Mind2002,170.74
19,Gladiator2001,187.71
