,State,Number of murder victims
0,California,1739
1,Texas,1322
2,Florida,1107
3,Illinois,884
4,Pennsylvania,784
5,Georgia,642
6,North Carolina,628
7,Missouri,607
8,Ohio,564
9,New York,562
10,Michigan,551
11,Louisiana,530
12,Tennessee,498
13,Maryland,490
14,Indiana,438
15,South Carolina,392
16,Virginia,391
17,Alabama,383
18,Arizona,369
19,New Jersey,286
20,Kentucky,244
21,Washington,236
22,Arkansas,216
23,Colorado,210
24,Oklahoma,206
25,Nevada,202
26,Wisconsin,176
27,Mississippi,171
28,New Mexico,167
29,District of Columbia,160
30,Massachusetts,136
31,Kansas,113
32,Minnesota,106
33,Connecticut,83
34,Oregon,82
35,West Virginia,67
36,Utah,60
37,Iowa,54
38,Delaware,48
39,Alaska,47
40,Nebraska,44
41,Hawaii,36
42,Idaho,35
43,Montana,34
44,Maine,24
45,New Hampshire,21
46,North Dakota,18
47,Rhode Island,16
48,Wyoming,13
49,South Dakota,12
50,Vermont,10
