,Quarter,E-commerce sales in million U.S. dollars
0,Q3 '20**,209533
1,Q2 '20*,211595
2,Q1 '20,160414
3,Q4 '19,156581
4,Q3 '19,153274
5,Q2 '19,146348
6,Q1 '19,139713
7,Q4 '18,135426
8,Q3 '18,132819
9,Q2 '18,129046
10,Q1 '18,122534
11,Q4 '17,118216
12,Q3 '17,114186
13,Q2 '17,110505
14,Q1 '17,106207
15,Q4 '16,101776
16,Q3 '16,99875
17,Q2 '16,96283
18,Q1 '16,92182
19,Q4 '15,88968
20,Q3 '15,86569
21,Q2 '15,83370
22,Q1 '15,80344
23,Q4 '14,77755
24,Q3 '14,75883
25,Q2 '14,73480
26,Q1 '14,70492
27,Q4 '13,68179
28,Q3 '13,65804
29,Q2 '13,63949
30,Q1 '13,62025
31,Q4 '12,60439
32,Q3 '12,58157
33,Q2 '12,56067
34,Q1 '12,54896
35,Q4 '11,52984
36,Q3 '11,49985
37,Q2 '11,48696
38,Q1 '11,46908
39,Q4 '10,45064
40,Q3 '10,43507
41,Q2 '10,41308
42,Q1 '10,39291
43,Q4 '09,38106
44,Q3 '09,37391
45,Q2 '09,35279
46,Q1 '09,34145
