,State,Debt as a percentage of State GDP
0,Kentucky,22.3%
1,New York,21.83%
2,Rhode Island,19.85%
3,Illinois,18.74%
4,Connecticut,18.63%
5,Alaska,18.28%
6,Massachusetts,17.94%
7,Hawaii,17.89%
8,South Carolina,17.51%
9,Texas,17.39%
10,Nevada,17.22%
11,Washington,16.88%
12,Kansas,16.85%
13,New Mexico,16.77%
14,California,16.58%
15,Pennsylvania,16.51%
16,Colorado,16.39%
17,New Jersey,16.29%
18,Oregon,15.68%
19,Missouri,15.45%
20,West Virginia,15.28%
21,North Dakota,15.23%
22,Louisiana,15.18%
23,Minnesota,15.09%
24,Vermont,14.76%
25,Wisconsin,14.38%
26,Arizona,14.37%
27,Michigan,14.25%
28,Alabama,14.24%
29,Maryland,13.83%
30,Florida,13.67%
31,Indiana,13.59%
32,Ohio,13.58%
33,Arkansas,13.28%
34,Mississippi,13.21%
35,Nebraska,13.18%
36,Virginia,12.95%
37,New Hampshire,12.87%
38,Maine,12.66%
39,South Dakota,12.56%
40,Utah,12.39%
41,Tennessee,12.31%
42,Montana,11.19%
43,District of Columbia,11.12%
44,Iowa,10.65%
45,Georgia,10.2%
46,Delaware,9.98%
47,Oklahoma,9.94%
48,North Carolina,8.78%
49,Idaho,8.32%
50,Wyoming,5.28%
