,Title (release date),Revenue in thousand U.S. dollars
0,Fallout 4 VR (December 2017),4731.12
1,Arizona Sunshine (December 2016),4721.4
2,Raw Data (October 2017),4283.32
3,Tilt Brush (April 2016),4025.36
4,Job Simulator (October 2016),3416.94
5,Audioshield (April 2016),2803.64
6,SUPERHOT VR (July 2017),2561.48
7,Onward (August 2016),2409.38
8,Space Pirate Trainer (October 2017),2372.87
9,Rick and Morty: Virtual Rick-ality (April 2017),1839.9
10,"Hot Dogs, Horsehoes, & Hand Grenades (April 2016)",1557.58
11,Gorn (July 2017),1392.08
