,Month,Number of new cases
0,"Jan 8, 2021",2907
1,"Jan 7, 2021",3068
2,"Jan 6, 2021",2047
3,"Jan 5, 2021",870
4,"Jan 4, 2021",856
5,"Jan 3, 2021",1307
6,"Jan 2, 2021",1410
7,"Jan 1, 2021",2764
8,"Dec 31, 2020",2971
9,"Dec 30, 2020",1972
10,"Dec 29, 2020",902
11,"Dec 28, 2020",609
12,"Dec 27, 2020",698
13,"Dec 26, 2020",1198
14,"Dec 25, 2020",2610
15,"Dec 24, 2020",3292
16,"Dec 23, 2020",1894
17,"Dec 22, 2020",1238
18,"Dec 21, 2020",2141
19,"Dec 20, 2020",2967
20,"Dec 19, 2020",4045
21,"Dec 18, 2020",4428
22,"Dec 17, 2020",2982
23,"Dec 16, 2020",2804
24,"Dec 15, 2020",1893
25,"Dec 14, 2020",3470
26,"Dec 13, 2020",4153
27,"Dec 12, 2020",5047
28,"Dec 11, 2020",6197
29,"Dec 10, 2020",5415
30,"Dec 9, 2020",3221
31,"Dec 8, 2020",2219
32,"Dec 7, 2020",3870
33,"Dec 6, 2020",6697
34,"Dec 5, 2020",5525
35,"Dec 4, 2020",6212
36,"Dec 3, 2020",6635
37,"Dec 2, 2020",4136
38,"Dec 1, 2020",3951
39,"Nov 30, 2020",5595
40,"Nov 29, 2020",6819
41,"Nov 28, 2020",6268
42,"Nov 27, 2020",6393
43,"Nov 26, 2020",6360
44,"Nov 25, 2020",3806
45,"Nov 24, 2020",3929
46,"Nov 23, 2020",3334
47,"Nov 22, 2020",4320
48,"Nov 21, 2020",4397
49,"Nov 20, 2020",4440
50,"Nov 19, 2020",4512
51,"Nov 18, 2020",4290
52,"Nov 17, 2020",5203
53,"Nov 16, 2020",6495
54,"Nov 15, 2020",4238
55,"Nov 14, 2020",4836
56,"Nov 13, 2020",5097
57,"Nov 12, 2020",3927
58,"Nov 11, 2020",3945
59,"Nov 10, 2020",4140
60,"Nov 9, 2020",5162
61,"Nov 8, 2020",4673
62,"Nov 7, 2020",5318
63,"Nov 6, 2020",4709
64,"Nov 5, 2020",3928
65,"Nov 4, 2020",4219
66,"Nov 3, 2020",3989
67,"Nov 2, 2020",3581
68,"Nov 1, 2020",3878
69,"Oct 31, 2020",3908
70,"Oct 30, 2020",3286
71,"Oct 29, 2020",2194
72,"Oct 28, 2020",2291
73,"Oct 27, 2020",2079
74,"Oct 26, 2020",2316
75,"Oct 25, 2020",3149
76,"Oct 24, 2020",1820
77,"Oct 23, 2020",2066
78,"Oct 22, 2020",2032
79,"Oct 21, 2020",1423
80,"Oct 20, 2020",989
81,"Oct 19, 2020",1478
82,"Oct 18, 2020",1474
83,"Oct 17, 2020",1791
84,"Oct 16, 2020",1293
85,"Oct 15, 2020",950
86,"Oct 14, 2020",920
87,"Oct 13, 2020",1025
88,"Oct 12, 2020",1173
89,"Oct 11, 2020",1068
90,"Oct 10, 2020",1374
91,"Oct 9, 2020",1176
92,"Oct 8, 2020",932
93,"Oct 7, 2020",816
94,"Oct 6, 2020",818
95,"Oct 5, 2020",905
96,"Oct 4, 2020",858
97,"Oct 3, 2020",1086
98,"Oct 2, 2020",1322
99,"Oct 1, 2020",848
100,"Sep 30, 2020",894
101,"Sep 29, 2020",851
102,"Sep 28, 2020",702
103,"Sep 27, 2020",937
104,"Sep 26, 2020",950
105,"Sep 25, 2020",927
106,"Sep 24, 2020",750
107,"Sep 23, 2020",951
108,"Sep 22, 2020",633
109,"Sep 21, 2020",876
110,"Sep 20, 2020",1070
111,"Sep 19, 2020",809
112,"Sep 18, 2020",941
113,"Sep 17, 2020",710
114,"Sep 16, 2020",581
115,"Sep 15, 2020",726
116,"Sep 14, 2020",844
117,"Sep 13, 2020",484
118,"Sep 12, 2020",916
119,"Sep 11, 2020",718
120,"Sep 10, 2020",476
121,"Sep 9, 2020",411
122,"Sep 8, 2020",341
123,"Sep 7, 2020",576
124,"Sep 6, 2020",495
125,"Sep 5, 2020",510
126,"Sep 4, 2020",459
127,"Sep 3, 2020",301
128,"Sep 2, 2020",365
129,"Sep 1, 2020",118
130,"Aug 31, 2020",178
131,"Aug 30, 2020",292
132,"Aug 29, 2020",158
133,"Aug 28, 2020",132
134,"Aug 27, 2020",91
135,"Aug 26, 2020",73
136,"Aug 25, 2020",24
137,"Aug 24, 2020",36
138,"Aug 23, 2020",22
139,"Aug 22, 2020",35
140,"Aug 21, 2020",52
141,"Aug 20, 2020",44
142,"Aug 19, 2020",32
143,"Aug 18, 2020",24
144,"Aug 17, 2020",30
145,"Aug 16, 2020",39
146,"Aug 15, 2020",24
147,"Aug 14, 2020",40
148,"Aug 13, 2020",45
149,"Aug 12, 2020",22
150,"Aug 11, 2020",15
151,"Aug 10, 2020",26
152,"Aug 9, 2020",43
153,"Aug 8, 2020",32
154,"Aug 7, 2020",24
155,"Aug 6, 2020",33
156,"Aug 5, 2020",11
157,"Aug 4, 2020",9
158,"Aug 3, 2020",9
159,"Aug 2, 2020",9
160,"Aug 1, 2020",21
161,"Jul 31, 2020",21
162,"Jul 30, 2020",19
163,"Jul 29, 2020",9
164,"Jul 28, 2020",8
165,"Jul 27, 2020",13
166,"Jul 26, 2020",11
167,"Jul 25, 2020",26
168,"Jul 24, 2020",18
169,"Jul 23, 2020",14
170,"Jul 22, 2020",19
171,"Jul 21, 2020",8
172,"Jul 20, 2020",6
173,"Jul 19, 2020",18
174,"Jul 18, 2020",22
175,"Jul 17, 2020",14
176,"Jul 16, 2020",16
177,"Jul 15, 2020",5
178,"Jul 14, 2020",11
179,"Jul 13, 2020",13
180,"Jul 12, 2020",5
181,"Jul 11, 2020",6
182,"Jul 10, 2020",3
183,"Jul 9, 2020",10
184,"Jul 8, 2020",5
185,"Jul 7, 2020",16
186,"Jul 6, 2020",6
187,"Jul 5, 2020",9
188,"Jul 4, 2020",2
189,"Jul 3, 2020",6
190,"Jul 2, 2020",9
191,"Jul 1, 2020",2
192,"Jun 30, 2020",10
193,"Jun 29, 2020",3
194,"Jun 28, 2020",4
195,"Jun 27, 2020",11
196,"Jun 26, 2020",4
197,"Jun 25, 2020",9
198,"Jun 24, 2020",7
199,"Jun 23, 2020",5
200,"Jun 22, 2020",8
201,"Jun 21, 2020",8
202,"Jun 20, 2020",5
203,"Jun 19, 2020",2
204,"Jun 18, 2020",1
205,"Jun 17, 2020",1
206,"Jun 16, 2020",1
207,"Jun 15, 2020",7
208,"Jun 14, 2020",5
209,"Jun 13, 2020",11
210,"Jun 12, 2020",14
211,"Jun 11, 2020",12
212,"Jun 10, 2020",10
213,"Jun 9, 2020",3
214,"Jun 8, 2020",6
215,"Jun 7, 2020",18
216,"Jun 6, 2020",20
217,"Jun 5, 2020",16
218,"Jun 4, 2020",23
219,"Jun 3, 2020",10
220,"Jun 2, 2020",29
221,"Jun1, 2020",16
222,"May 31, 2020",9
223,"May 30, 2020",26
224,"May 29, 2020",25
225,"May 28, 2020",23
226,"May 27, 2020",22
227,"May 26, 2020",15
228,"May 25, 2020",15
229,"May 24, 2020",28
230,"May 23, 2020",35
231,"May 22, 2020",37
232,"May 21, 2020",43
233,"May 20, 2020",42
234,"May 19, 2020",12
235,"May 18, 2020",28
236,"May 17, 2020",36
237,"May 16, 2020",56
238,"May 15, 2020",37
239,"May 14, 2020",39
240,"May 13, 2020",28
241,"May 12, 2020",29
242,"May 11, 2020",21
