,State,Number of deaths
0,Alabama,775
1,Alaska,110
2,Arizona,1670
3,Arkansas,444
4,California,5348
5,Colorado,995
6,Connecticut,1069
7,Delaware,401
8,District of Columbia,254
9,Florida,4698
10,Georgia,1404
11,Hawaii,213
12,Idaho,250
13,Illinois,2722
14,Indiana,1629
15,Iowa,287
16,Kansas,345
17,Kentucky,1315
18,Louisiana,1140
19,Maine,345
20,Maryland,2324
21,Massachusetts,2241
22,Michigan,2591
23,Minnesota,636
24,Mississippi,310
25,Missouri,1610
26,Montana,125
27,Nebraska,138
28,Nevada,688
29,New Hampshire,452
30,New Jersey,2900
31,New Mexico,537
32,New York,3697
33,North Carolina,2259
34,North Dakota,70
35,Ohio,3980
36,Oklahoma,716
37,Oregon,547
38,Pennsylvania,4415
39,Rhode Island,317
40,South Carolina,1125
41,South Dakota,57
42,Tennessee,1823
43,Texas,3005
44,Utah,624
45,Vermont,153
46,Virginia,1448
47,Washington,1164
48,West Virginia,856
49,Wisconsin,1079
50,Wyoming,66
