,Year,Cost of EpiPens in U.S. Dollars
0,"1st November, 2004",106.32
1,"23rd February, 2005",106.96
2,"23rd February, 2006",107.76
3,"22nd February, 2007",108.96
4,"16th January, 2008",110.18
5,"14th January, 2009",116.1
6,"12th October, 2009",139.42
7,"3rd August, 2010",150.76
8,"15th December, 2010",165.68
9,"12th May, 2011",176.5
10,"18th October, 2011",193.96
11,"6th March, 2012",208.84
12,"27th July, 2012",229.52
13,"7th November, 2012",252.24
14,"17th July, 2013",273.24
15,"8th November, 2013",313.94
16,"2nd May, 2014",354.94
17,"5th Nov, 2014",407.84
18,"1st May, 2015",468.06
19,"23rd November, 2015",537.8
20,"16th May, 2016",608.61
