,Month,Units sold
0,Dec 19,2357
1,Nov 19,1963
2,Oct 19,1287
3,Sep 19,4300
4,Aug 19,1031
5,Jul 19,1445
6,Jun 19,2935
7,May 19,2647
8,Apr 19,2060
9,Mar 19,7443
10,Feb 19,1008
11,Jan 19,2475
12,Dec 18,1890
13,Nov 18,2237
14,Oct 18,1778
15,Sep 18,2470
16,Aug 18,811
17,Jul 18,1366
18,Jun 18,2000
19,May 18,2516
20,Apr 18,1919
21,Mar 18,4013
22,Feb 18,1048
23,Jan 18,2121
24,Dec 17,983
25,Nov 17,1466
26,Oct 17,1625
27,Sep 17,4459
28,Aug 17,769
29,Jul 17,1460
30,Jun 17,2845
31,May 17,1939
32,Apr 17,1397
33,Mar 17,5773
34,Feb 17,439
35,Jan 17,1994
36,Dec 16,1891
37,Nov 16,1405
38,Oct 16,2280
39,Sep 16,5247
40,Aug 16,845
41,Jul 16,1386
