,Month,Exchange rate
0,Dec' 20,4.56
1,Nov '20,4.47
2,Oct '20,4.62
3,Sep '20,4.55
4,Aug '20,4.4
5,Jul '20,4.4
6,Jun '20,4.46
7,May '20,4.45
8,Apr '20,4.53
9,Mar '20,4.55
10,Feb '20,4.33
11,Jan '20,4.3
12,Dec '19,4.26
13,Nov '19,4.32
14,Oct '19,4.26
15,Sep '19,4.37
16,Aug '19,4.38
17,Jul '19,4.29
18,Jun '19,4.25
19,May '19,4.28
20,Apr '19,4.29
21,Mar '19,4.3
22,Feb '19,4.31
23,Jan '19,4.27
24,Dec '18,4.3
25,Nov '18,4.29
26,Oct '18,4.34
27,Sep '18,4.28
28,Aug '18,4.29
29,Jul '18,4.28
30,Jun '18,4.37
31,May '18,4.31
32,Apr '18,4.23
33,Mar '18,4.21
34,Feb '18,4.18
35,Jan '18,4.15
36,Dec '17,4.18
37,Nov '17,4.2
38,Oct '17,4.24
39,Sep '17,4.3
40,Aug '17,4.26
41,Jul '17,4.25
42,Jun '17,4.23
43,May '17,4.17
44,Apr '17,4.22
45,Mar '17,4.23
46,Feb '17,4.31
47,Jan '17,4.32
48,Dec '16,4.44
49,Nov '16,4.39
50,Oct '16,4.31
51,Sep '16,4.32
52,Aug '16,4.35
53,Jul '16,4.36
54,Jun '16,4.44
55,May '16,4.39
56,Apr '16,4.4
57,Mar '16,4.26
58,Feb '16,4.35
59,Jan '16,4.44
60,Dec '15,4.26
