,Telecommunication company,Turnover in million SEK
0,Telia Company AB,83559
1,Tele2 AB,23704
2,Telenor Sverige AB,12845
3,Eltel AB,12192
4,Sinch AB (publ),3987
5,Eltel Networks Infranet AB,3770
6,Boxer TV-Access AB,1705
7,Canal Digital Sverige AB,1627
8,Teracom AB,1606
9,Transtema Network Services AB,1058
10,Svenska UMTS-nät AB,1026
11,Svenska Rymd AB,945
12,Rebtel Owners AB,918
13,A3 Allmänn IT - och Telekom AB (publ),806
14,Zitius Service Delivery AB,757
15,Telenor Connexion AB,702
16,Nordic Entertainment Group Technology AB,691
17,SES Astra-AB,577
18,Netsize Internet Payment Exchange AB,541
19,Verizon Sweden AB,533
